package,version,riskLevel,riskScore,toolCount,hasPostInstall,typosquatRisk,scannedAt
@contractspec/lib.contracts-runtime-server-mcp,3.8.4,CLEAN,0,0,false,false,2026-04-26T03:41:29.725Z
@convertcom/mcp-server,0.0.1-beta.9,CLEAN,0,0,false,false,2026-04-26T03:41:30.881Z
@covalenthq/goldrush-mcp-server,3.0.6,CLEAN,0,0,false,false,2026-04-26T03:41:31.896Z
@cozyflux/mcp-server,1.0.7,CRITICAL,100,60,false,false,2026-04-26T03:41:32.980Z
@cplace/mcp-server,1.8.6,CLEAN,0,0,false,false,2026-04-26T03:41:34.127Z
@creatrip/mcp-server,1.1.0,LOW,10,0,false,false,2026-04-26T03:41:35.079Z
@172ai/containers-mcp-server,1.13.2,CRITICAL,100,144,true,false,2026-04-27T03:44:31.340Z
@aauth/mcp-openclaw,0.8.1,CLEAN,0,0,false,false,2026-04-27T03:44:32.272Z
@aauth/mcp-stdio,0.8.1,CLEAN,0,0,false,false,2026-04-27T03:44:33.179Z
@agentbell/mcp-server,1.0.3,MEDIUM,15,0,false,false,2026-04-27T03:44:34.109Z
@ahmetkca/missionplanner-mcp-server,0.1.2,LOW,10,0,false,false,2026-04-27T03:44:35.072Z
@amigo-ai/forge-tools,0.1.13,CLEAN,0,12,false,false,2026-04-27T03:44:36.382Z
@annguyen209/mantis-mcp-server,1.0.3,CLEAN,0,0,false,false,2026-04-27T03:44:37.412Z
@atomicbotai/computer-use-mcp,0.1.7,CLEAN,0,0,false,false,2026-04-27T03:44:38.250Z
@biqblue/mcp-server,1.0.27,CRITICAL,85,21,false,false,2026-04-27T03:44:39.523Z
@bonniernews/mcp-server,0.2.2,CLEAN,0,0,false,false,2026-04-27T03:44:40.487Z
@breadstone/archipel-platform-mcp,0.0.32,CLEAN,0,0,false,false,2026-04-27T03:44:41.436Z
@buildwithlayer/openapi-to-tools,1.3.3,CLEAN,0,0,false,false,2026-04-27T03:44:42.312Z
@bun913/mcp-testrail,0.19.5,CLEAN,0,0,false,false,2026-04-27T03:44:43.271Z
@bunrpc/mcp,0.1.9,CLEAN,0,0,false,false,2026-04-27T03:44:44.355Z
@caik.dev/mcp,0.7.2,CLEAN,0,0,false,false,2026-04-27T03:44:45.373Z
@chain-lens/mcp-tool,0.1.3,HIGH,40,10,false,false,2026-04-27T03:44:46.295Z
@chatwork/mcp-server,0.0.4,CRITICAL,80,0,false,false,2026-04-27T03:44:47.144Z
@chkp/cpinfo-analysis-mcp,1.2.1,LOW,10,0,false,false,2026-04-27T03:44:48.127Z
@cimpress/react-components,16.21.4,CLEAN,0,0,false,false,2026-04-27T03:44:49.757Z
@civic/auth-mcp,0.3.1,LOW,10,0,false,false,2026-04-27T03:44:50.682Z
@cloudinary/asset-management-mcp,0.9.0,MEDIUM,30,23,false,false,2026-04-27T03:44:51.695Z
@codelytv/mcp-client,0.7.0,CLEAN,0,0,false,false,2026-04-27T03:44:52.564Z
@codeweave/mcp,0.1.20,MEDIUM,30,0,false,false,2026-04-27T03:44:53.615Z
@coding-solo/godot-mcp,0.1.1,CLEAN,0,28,false,false,2026-04-27T03:44:54.365Z
@colorfront/shiitake-mcp,1.0.4,CRITICAL,100,12,false,false,2026-04-27T03:44:55.379Z
@creditsync-pro/mcp,1.19.0,CLEAN,0,0,false,false,2026-04-27T03:44:56.300Z
@cristip73/mcp-server-asana,2.0.0,HIGH,55,86,false,false,2026-04-27T03:44:57.359Z
@crscreditapi/b2c-mcp-server,0.5.3-444b455,CLEAN,0,6,false,false,2026-04-27T03:44:58.345Z
@crunchloop/mcp-devcontainers,0.0.3,CLEAN,0,0,false,false,2026-04-27T03:44:59.356Z
@crush-protocol/mcp-client,0.5.3,CRITICAL,100,0,false,false,2026-04-27T03:45:00.296Z
@crush-rewards/mcp-server,0.4.3,MEDIUM,15,0,false,false,2026-04-27T03:45:01.348Z
@currents/mcp,2.2.17,CLEAN,0,0,false,false,2026-04-27T03:45:02.152Z
@customer-support-success/pylon-mcp-server,3.7.2,CLEAN,0,0,false,false,2026-04-27T03:45:03.236Z
@cyanheads/arxiv-mcp-server,0.1.12,LOW,5,6,false,false,2026-04-27T03:45:04.143Z
@cyanheads/calculator-mcp-server,0.1.11,CLEAN,0,2,false,false,2026-04-27T03:45:05.070Z
@cyanheads/cdc-health-mcp-server,0.6.0,CLEAN,0,4,false,false,2026-04-27T03:45:05.991Z
@cyanheads/git-mcp-server,2.14.2,CLEAN,0,0,false,false,2026-04-27T03:45:06.928Z
@cyanheads/hn-mcp-server,0.4.0,CLEAN,0,0,false,false,2026-04-27T03:45:07.876Z
@cyanheads/mcp-ts-core,0.7.5,LOW,10,0,false,false,2026-04-27T03:45:09.095Z
@cyanheads/pubchem-mcp-server,1.0.2,CLEAN,0,0,false,false,2026-04-27T03:45:10.298Z
@cyanheads/pubmed-mcp-server,1.4.5,CLEAN,0,0,false,false,2026-04-27T03:45:11.129Z
@cyborux/mcp-server,0.3.0,CLEAN,0,0,false,false,2026-04-27T03:45:12.121Z
@daileyos/mcp-server,1.11.0,LOW,10,0,false,false,2026-04-27T03:45:13.126Z
@dalcontak/blogger-mcp-server,1.0.3,CLEAN,0,22,false,false,2026-04-27T03:45:14.294Z
@dalmasonto/taskflow-mcp,1.0.33,CRITICAL,70,0,false,false,2026-04-27T03:45:15.505Z
@dangerusslee/gitlab-mcp-server,0.3.2,CRITICAL,70,106,false,false,2026-04-27T03:45:17.006Z
@darwinphi/ph-schools-mcp-server,1.0.3,CLEAN,0,0,false,false,2026-04-27T03:45:18.040Z
@databrainhq/mcp-server,0.2.10,HIGH,50,38,false,false,2026-04-27T03:45:19.083Z
@datalanguage/datagraphs-mcp-server,1.3.0,CLEAN,0,0,false,false,2026-04-27T03:45:20.041Z
@db-ux/mcp-server,0.0.0,CLEAN,0,0,false,false,2026-04-27T03:45:21.152Z
@agent_browser/mcp-server,0.2.9,MEDIUM,30,0,false,false,2026-04-28T03:50:47.237Z
@aiwerk/mcp-server-clawhub,0.1.2,CLEAN,0,0,false,false,2026-04-28T03:50:48.273Z
@aiwerk/mcp-server-wise,0.1.5,MEDIUM,15,0,false,false,2026-04-28T03:50:49.181Z
@allratestoday/mcp-server,0.3.3,CLEAN,0,8,false,false,2026-04-28T03:50:50.176Z
@arcadia-finance/mcp-server,0.4.5,CLEAN,0,0,false,false,2026-04-28T03:50:51.156Z
@bientavu/ghost-mcp,0.1.0,CLEAN,0,0,false,false,2026-04-28T03:50:52.170Z
@builtwith/mcp-server,1.6.2,HIGH,50,11,false,false,2026-04-28T03:50:53.256Z
@camscanner/yapi-mcp-server,1.0.2,CLEAN,0,0,false,false,2026-04-28T03:50:54.477Z
@chathost/mcp-darwin-x64,1.2.10,CLEAN,0,0,false,false,2026-04-28T03:50:55.877Z
@chathost/mcp-uat-darwin-arm64,1.2.10,CLEAN,0,0,false,false,2026-04-28T03:50:57.256Z
@cl0ud95/google-workspace-mcp,3.1.4,CLEAN,0,0,false,false,2026-04-28T03:50:58.166Z
@claude-flow/cli,3.6.3,HIGH,50,28,true,false,2026-04-28T03:50:59.179Z
@clip-qa/mcp-server,1.1.0,HIGH,50,0,false,false,2026-04-28T03:51:00.120Z
@cmsmcp/ghost,0.3.2,CLEAN,0,0,false,false,2026-04-28T03:51:01.103Z
@cobbee-mcp/server,2.0.3,CLEAN,0,36,false,false,2026-04-28T03:51:02.157Z
@dealpos/mcp-server,1.0.3,CLEAN,0,0,false,false,2026-04-28T03:51:03.132Z
@dealsurface/mcp-server,0.1.3,CLEAN,0,0,false,false,2026-04-28T03:51:04.145Z
@debugmcp/mcp-debugger,0.20.0,CLEAN,0,0,false,false,2026-04-28T03:51:07.396Z
@decaf-ts/mcp-server,1.8.0,HIGH,60,0,false,false,2026-04-28T03:51:08.456Z
@decantr/mcp-server,1.0.4,CLEAN,0,0,false,false,2026-04-28T03:51:09.399Z
